조사연도,가구고유번호(MD제공용),원리금상환액,원금상환액,가구주 미은퇴시_노후준비상황,가구주 미은퇴시_최소생활비
2017,10200151.0,1261.0,968.0,2.0,300.0
2017,10200161.0,2786.0,1500.0,4.0,200.0
2017,10200191.0,0.0,0.0,4.0,100.0
2017,10200211.0,1400.0,0.0,2.0,150.0
2017,10200231.0,0.0,0.0,,0.0
2017,10200251.0,0.0,0.0,4.0,150.0
2017,10200261.0,0.0,0.0,5.0,60.0
2017,10200311.0,0.0,0.0,,0.0
2017,10200371.0,511.0,250.0,3.0,300.0
2017,10201181.0,0.0,0.0,,0.0
2017,10201191.0,1170.0,150.0,3.0,300.0
2017,10201211.0,0.0,0.0,,0.0
2017,10201241.0,200.0,200.0,2.0,200.0
2017,10201321.0,774.0,318.0,3.0,200.0
2017,10201331.0,5320.0,4000.0,2.0,250.0
2017,10201361.0,510.0,150.0,3.0,100.0
2017,10201381.0,1442.0,1236.0,5.0,150.0
2017,10202191.0,1145.0,1065.0,4.0,200.0
2017,10202301.0,830.0,830.0,4.0,250.0
2017,10202311.0,100.0,100.0,5.0,150.0
2017,10203141.0,2522.0,2500.0,3.0,150.0
2017,10203171.0,0.0,0.0,2.0,100.0
2017,10203311.0,0.0,0.0,3.0,300.0
2017,10203351.0,0.0,0.0,5.0,150.0
2017,10203391.0,4025.0,3800.0,4.0,200.0
2017,10204131.0,1300.0,800.0,5.0,200.0
2017,10300121.0,3173.0,3050.0,3.0,200.0
2017,10300151.0,3350.0,2500.0,5.0,150.0
2017,10400111.0,2649.0,2480.0,3.0,300.0
2017,10400181.0,700.0,700.0,3.0,200.0
2017,10400351.0,0.0,0.0,3.0,200.0
2017,10500171.0,1540.0,1000.0,4.0,150.0
2017,10500181.0,4990.0,4200.0,3.0,500.0
2017,10500191.0,0.0,0.0,,0.0
2017,10501111.0,2000.0,2000.0,5.0,200.0
2017,10501211.0,370.0,60.0,1.0,150.0
2017,10501221.0,20.0,20.0,5.0,100.0
2017,10501231.0,4298.0,3720.0,2.0,200.0
2017,10503361.0,772.0,436.0,3.0,200.0
2017,10600321.0,9329.0,8600.0,3.0,300.0
2017,10601101.0,0.0,0.0,,0.0
2017,10601111.0,80.0,0.0,4.0,200.0
2017,10601121.0,0.0,0.0,3.0,70.0
2017,10601131.0,150.0,150.0,3.0,100.0
2017,10700111.0,120.0,100.0,3.0,200.0
2017,10700121.0,0.0,0.0,4.0,80.0
2017,10700191.0,187.0,187.0,,0.0
2017,10700211.0,0.0,0.0,4.0,100.0
2017,10700221.0,0.0,0.0,,0.0
2017,10700231.0,224.0,200.0,3.0,150.0
2017,10700241.0,0.0,0.0,5.0,100.0
2017,10700271.0,123.0,0.0,4.0,150.0
2017,10700281.0,0.0,0.0,,0.0
2017,10700321.0,0.0,0.0,5.0,150.0
2017,10700331.0,34.0,30.0,2.0,200.0
2017,10700351.0,450.0,300.0,4.0,150.0
2017,10700381.0,0.0,0.0,5.0,150.0
2017,10701121.0,0.0,0.0,4.0,200.0
2017,10701161.0,0.0,0.0,5.0,100.0
2017,11200151.0,0.0,0.0,4.0,100.0
2017,11200171.0,648.0,480.0,3.0,150.0
2017,11200211.0,0.0,0.0,,0.0
2017,11200251.0,252.0,240.0,4.0,150.0
2017,11200261.0,0.0,0.0,3.0,150.0
2017,11200331.0,1270.0,1000.0,5.0,200.0
2017,11201211.0,0.0,0.0,5.0,150.0
2017,11201311.0,5840.0,4057.0,4.0,200.0
2017,11201321.0,50.0,0.0,4.0,200.0
2017,11202341.0,495.0,340.0,3.0,200.0
2017,11202371.0,270.0,0.0,4.0,150.0
2017,11203181.0,0.0,0.0,5.0,300.0
2017,11203321.0,2714.0,2000.0,3.0,200.0
2017,11203341.0,0.0,0.0,,0.0
2017,11203351.0,0.0,0.0,,0.0
2017,11203361.0,0.0,0.0,3.0,150.0
2017,11500101.0,0.0,0.0,4.0,200.0
2017,11500111.0,0.0,0.0,3.0,150.0
2017,11500171.0,0.0,0.0,4.0,300.0
2017,11500181.0,1878.0,1300.0,4.0,150.0
2017,11503331.0,90.0,90.0,3.0,200.0
2017,11503351.0,497.0,480.0,5.0,100.0
2017,11503361.0,1526.0,1203.0,3.0,180.0
2017,11503381.0,5820.0,4300.0,2.0,300.0
2017,11600111.0,0.0,0.0,4.0,250.0
2017,11600121.0,0.0,0.0,3.0,250.0
2017,11600131.0,0.0,0.0,,0.0
2017,11600151.0,140.0,140.0,5.0,100.0
2017,11600181.0,4.0,0.0,4.0,200.0
2017,11600331.0,17.0,0.0,4.0,300.0
2017,11600341.0,5670.0,5400.0,3.0,300.0
2017,11600381.0,0.0,0.0,,0.0
2017,11700111.0,0.0,0.0,3.0,300.0
2017,11700151.0,1000.0,600.0,1.0,200.0
2017,11700161.0,0.0,0.0,2.0,200.0
2017,11700171.0,0.0,0.0,4.0,200.0
2017,11700181.0,1080.0,600.0,4.0,200.0
2017,11700191.0,865.0,690.0,3.0,250.0
2017,11700201.0,0.0,0.0,,0.0
2017,11700211.0,0.0,0.0,5.0,300.0
2017,11700221.0,0.0,0.0,,0.0
2017,11700241.0,0.0,0.0,4.0,100.0
2017,11700281.0,0.0,0.0,3.0,250.0
2017,11700291.0,0.0,0.0,5.0,200.0
2017,11700311.0,540.0,540.0,4.0,150.0
2017,11700371.0,0.0,0.0,,0.0
2017,12200111.0,0.0,0.0,3.0,200.0
2017,12200141.0,0.0,0.0,4.0,100.0
2017,12200151.0,0.0,0.0,4.0,150.0
2017,12200211.0,515.0,470.0,4.0,150.0
2017,12200231.0,0.0,0.0,,0.0
2017,12200271.0,0.0,0.0,5.0,100.0
2017,12200321.0,0.0,0.0,2.0,200.0
2017,12200331.0,0.0,0.0,3.0,200.0
2017,12201211.0,0.0,0.0,,0.0
2017,12201271.0,0.0,0.0,5.0,80.0
2017,12201331.0,120.0,0.0,4.0,200.0
2017,12202121.0,0.0,0.0,4.0,150.0
2017,12202131.0,2095.0,1950.0,3.0,200.0
2017,12202301.0,2815.0,2600.0,2.0,200.0
2017,12202311.0,821.0,200.0,4.0,300.0
2017,12202321.0,264.0,0.0,,0.0
2017,12202331.0,324.0,220.0,5.0,200.0
2017,12203331.0,5010.0,3320.0,3.0,500.0
2017,12500121.0,382.0,95.0,3.0,200.0
2017,12503311.0,2680.0,2370.0,5.0,300.0
2017,12503331.0,3053.0,2000.0,4.0,200.0
2017,12503351.0,2496.0,1500.0,2.0,200.0
2017,12503361.0,0.0,0.0,,0.0
2017,12503371.0,480.0,219.0,5.0,200.0
2017,12503391.0,450.0,0.0,,0.0
2017,12600241.0,0.0,0.0,1.0,150.0
2017,12600261.0,0.0,0.0,,0.0
2017,12600271.0,62.0,60.0,,0.0
2017,12600281.0,430.0,150.0,3.0,200.0
2017,12600291.0,3310.0,3000.0,3.0,300.0
2017,12600351.0,0.0,0.0,4.0,150.0
2017,12700151.0,0.0,0.0,,0.0
2017,12700231.0,0.0,0.0,3.0,100.0
2017,12700241.0,0.0,0.0,4.0,150.0
2017,12700251.0,420.0,180.0,4.0,250.0
2017,12700281.0,792.0,408.0,3.0,200.0
2017,12700291.0,115.0,112.0,3.0,100.0
2017,12700361.0,0.0,0.0,4.0,150.0
2017,12700371.0,960.0,600.0,3.0,250.0
2017,13200201.0,127.0,127.0,5.0,200.0
2017,13200241.0,0.0,0.0,,0.0
2017,13200251.0,880.0,480.0,3.0,250.0
2017,13200351.0,50.0,50.0,5.0,100.0
2017,13201261.0,240.0,240.0,,0.0
2017,13201291.0,0.0,0.0,1.0,200.0
2017,13201351.0,1062.0,756.0,4.0,200.0
2017,13201361.0,500.0,500.0,4.0,100.0
2017,13201381.0,51260.0,50000.0,4.0,150.0
2017,13202151.0,648.0,360.0,4.0,200.0
2017,13202161.0,0.0,0.0,2.0,200.0
2017,13202171.0,0.0,0.0,,0.0
2017,13202181.0,5460.0,5000.0,4.0,250.0
2017,13202191.0,1072.0,400.0,3.0,300.0
2017,13202381.0,3407.0,3390.0,,0.0
2017,13203311.0,0.0,0.0,3.0,300.0
2017,13203331.0,30.0,30.0,5.0,70.0
2017,13203371.0,778.0,480.0,4.0,150.0
2017,13203381.0,0.0,0.0,5.0,250.0
2017,13204151.0,10392.0,10000.0,3.0,400.0
2017,13204161.0,330.0,0.0,,0.0
2017,13204191.0,940.0,0.0,2.0,300.0
2017,13500161.0,951.0,900.0,4.0,150.0
2017,13500181.0,418.0,322.0,5.0,200.0
2017,13500191.0,0.0,0.0,,0.0
2017,13501291.0,53.0,50.0,3.0,250.0
2017,13503321.0,2480.0,2000.0,4.0,170.0
2017,13503331.0,150.0,100.0,4.0,400.0
2017,13600141.0,850.0,400.0,4.0,100.0
2017,13600151.0,0.0,0.0,3.0,150.0
2017,13600181.0,0.0,0.0,,0.0
2017,13600191.0,0.0,0.0,,0.0
2017,13600201.0,0.0,0.0,2.0,150.0
2017,13600211.0,18.0,18.0,,0.0
2017,13600221.0,10220.0,7200.0,3.0,400.0
2017,13600351.0,2020.0,1900.0,5.0,300.0
2017,13700121.0,0.0,0.0,2.0,200.0
2017,13700201.0,0.0,0.0,4.0,200.0
2017,13700221.0,0.0,0.0,,0.0
2017,13700231.0,0.0,0.0,2.0,150.0
2017,13700241.0,232.0,160.0,4.0,200.0
2017,13700251.0,1631.0,1420.0,3.0,150.0
2017,13700261.0,1170.0,800.0,5.0,100.0
2017,13700271.0,425.0,350.0,5.0,180.0
2017,13700311.0,0.0,0.0,3.0,300.0
2017,13700341.0,0.0,0.0,4.0,150.0
2017,13700351.0,1508.0,1400.0,3.0,150.0
2017,13700361.0,0.0,0.0,4.0,250.0
2017,13700381.0,24.0,0.0,,0.0
2017,13700391.0,30.0,12.0,3.0,200.0
2017,14200161.0,60.0,60.0,4.0,150.0
2017,14200171.0,680.0,600.0,4.0,200.0
2017,14200241.0,1060.0,750.0,3.0,150.0
2017,14200291.0,960.0,0.0,,0.0
2017,14201231.0,702.0,600.0,1.0,150.0
2017,14201281.0,0.0,0.0,4.0,100.0
2017,14201391.0,396.0,0.0,5.0,200.0
2017,14202131.0,200.0,0.0,3.0,200.0
2017,14202301.0,68350.0,65700.0,2.0,400.0
2017,14203361.0,0.0,0.0,3.0,150.0
2017,14500101.0,1790.0,1500.0,3.0,200.0
2017,14500111.0,120.0,120.0,4.0,70.0
2017,14500141.0,1796.0,1721.0,3.0,150.0
2017,14500151.0,0.0,0.0,,0.0
2017,14501201.0,1120.0,1000.0,3.0,150.0
2017,14600141.0,0.0,0.0,,0.0
2017,14600151.0,100.0,100.0,4.0,180.0
2017,14600301.0,20157.0,19700.0,4.0,150.0
2017,14600331.0,0.0,0.0,4.0,100.0
2017,14700101.0,6300.0,6000.0,3.0,300.0
2017,14700111.0,0.0,0.0,3.0,100.0
2017,14700121.0,210.0,210.0,3.0,100.0
2017,14700131.0,10.0,0.0,4.0,200.0
2017,14700161.0,4500.0,4020.0,3.0,200.0
2017,14700181.0,26.0,0.0,,0.0
2017,14700301.0,294.0,285.0,4.0,150.0
2017,14700311.0,292.0,100.0,4.0,150.0
2017,14700331.0,6080.0,0.0,4.0,200.0
2017,14700351.0,0.0,0.0,4.0,250.0
2017,14700381.0,700.0,100.0,4.0,200.0
2017,14700391.0,61.0,0.0,4.0,300.0
2017,15200211.0,346.0,0.0,4.0,200.0
2017,15200221.0,1200.0,1200.0,3.0,200.0
2017,15200251.0,0.0,0.0,3.0,60.0
2017,15200291.0,1049.0,1020.0,5.0,120.0
2017,15200301.0,0.0,0.0,,0.0
2017,15200351.0,0.0,0.0,4.0,60.0
2017,15200361.0,685.0,300.0,4.0,100.0
2017,15201211.0,0.0,0.0,,0.0
2017,15201221.0,100.0,100.0,3.0,100.0
2017,15201251.0,0.0,0.0,4.0,150.0
2017,15201351.0,0.0,0.0,4.0,150.0
2017,15202171.0,1220.0,1220.0,,0.0
2017,15202181.0,0.0,0.0,,0.0
2017,15202311.0,0.0,0.0,,0.0
2017,15203311.0,4056.0,3300.0,3.0,250.0
2017,15203321.0,0.0,0.0,,0.0
2017,15203341.0,84.0,0.0,4.0,200.0
2017,15203361.0,6850.0,5000.0,4.0,250.0
2017,15203371.0,268.0,100.0,4.0,150.0
2017,15204101.0,80.0,80.0,4.0,200.0
2017,15204151.0,0.0,0.0,,0.0
2017,15500171.0,2160.0,0.0,,0.0
2017,15500191.0,15495.0,15000.0,3.0,200.0
2017,15503311.0,1026.0,750.0,2.0,200.0
2017,15503331.0,272.0,175.0,3.0,200.0
2017,15503341.0,0.0,0.0,4.0,200.0
2017,15503351.0,2176.0,1740.0,4.0,200.0
2017,15600111.0,482.0,450.0,3.0,200.0
2017,15700121.0,0.0,0.0,4.0,200.0
2017,15700141.0,0.0,0.0,3.0,150.0
2017,15700171.0,220.0,200.0,4.0,200.0
2017,15700181.0,30.0,10.0,3.0,200.0
2017,15700301.0,0.0,0.0,4.0,150.0
2017,15700311.0,300.0,0.0,3.0,150.0
2017,15700341.0,2800.0,1500.0,3.0,200.0
2017,15700351.0,0.0,0.0,3.0,200.0
2017,15700371.0,384.0,0.0,3.0,200.0
2017,15700381.0,0.0,0.0,5.0,150.0
2017,15700391.0,384.0,360.0,4.0,150.0
2017,16200121.0,1560.0,0.0,,0.0
2017,16200141.0,1060.0,1000.0,,0.0
2017,16200151.0,0.0,0.0,4.0,80.0
2017,16200201.0,2136.0,2000.0,4.0,150.0
2017,16200221.0,0.0,0.0,,0.0
2017,16201111.0,0.0,0.0,3.0,150.0
2017,16201121.0,2750.0,2500.0,4.0,300.0
2017,16201161.0,51.0,50.0,3.0,80.0
2017,16202101.0,200.0,0.0,3.0,250.0
2017,16202131.0,4480.0,4300.0,3.0,300.0
2017,16202301.0,715.0,295.0,3.0,250.0
2017,16202331.0,0.0,0.0,,0.0
2017,16500111.0,1320.0,0.0,2.0,1000.0
2017,16502301.0,0.0,0.0,3.0,150.0
2017,16502331.0,0.0,0.0,4.0,150.0
2017,16502341.0,500.0,500.0,4.0,150.0
2017,16502361.0,0.0,0.0,,0.0
2017,16502371.0,750.0,0.0,5.0,150.0
2017,16502381.0,1353.0,850.0,4.0,200.0
2017,16600321.0,1006.0,238.0,3.0,150.0
2017,16700111.0,0.0,0.0,4.0,150.0
2017,16700121.0,0.0,0.0,,0.0
2017,16700141.0,150.0,150.0,,0.0
2017,16700151.0,0.0,0.0,5.0,150.0
2017,16700161.0,0.0,0.0,,0.0
2017,16700171.0,0.0,0.0,5.0,150.0
2017,16700311.0,700.0,100.0,3.0,200.0
2017,16700331.0,932.0,0.0,4.0,300.0
2017,16700351.0,1045.0,0.0,4.0,200.0
2017,16700371.0,100.0,100.0,4.0,300.0
2017,17200101.0,0.0,0.0,,0.0
2017,17200131.0,0.0,0.0,3.0,200.0
2017,17200151.0,8416.0,7900.0,4.0,160.0
2017,17200171.0,787.0,660.0,,0.0
2017,17200231.0,1175.0,1100.0,4.0,150.0
2017,17200261.0,441.0,412.0,,0.0
2017,17201131.0,0.0,0.0,,0.0
2017,17201161.0,3870.0,3500.0,4.0,300.0
2017,17201301.0,0.0,0.0,3.0,200.0
2017,17201311.0,230.0,0.0,3.0,300.0
2017,17201341.0,310.0,300.0,,0.0
2017,17201361.0,2048.0,1500.0,4.0,250.0
2017,17201371.0,2142.0,2120.0,4.0,200.0
2017,17202101.0,2817.0,2700.0,4.0,200.0
2017,17202131.0,1010.0,950.0,3.0,200.0
2017,17202151.0,1480.0,700.0,3.0,300.0
2017,17202171.0,4798.0,4140.0,2.0,150.0
2017,17202181.0,669.0,383.0,4.0,100.0
2017,17202301.0,1490.0,1100.0,4.0,280.0
2017,17202331.0,720.0,680.0,4.0,200.0
2017,17202361.0,0.0,0.0,4.0,200.0
2017,17202371.0,2237.0,2000.0,3.0,200.0
2017,17203301.0,0.0,0.0,,0.0
2017,17203311.0,2752.0,2200.0,3.0,200.0
2017,17500191.0,0.0,0.0,4.0,200.0
2017,17500291.0,470.0,410.0,1.0,300.0
2017,17502311.0,4900.0,4300.0,4.0,150.0
2017,17600361.0,0.0,0.0,,0.0
2017,17600371.0,0.0,0.0,4.0,150.0
2017,17600381.0,1562.0,600.0,3.0,250.0
2017,17700171.0,5988.0,4500.0,4.0,250.0
2017,17700181.0,0.0,0.0,5.0,200.0
2017,17700191.0,0.0,0.0,3.0,150.0
2017,17700321.0,4550.0,4000.0,4.0,200.0
2017,17700331.0,240.0,240.0,5.0,300.0
2017,17700341.0,15.0,0.0,3.0,100.0
2017,17700351.0,0.0,0.0,4.0,100.0
2017,17700361.0,700.0,600.0,4.0,150.0
2017,18200241.0,2131.0,2000.0,3.0,200.0
2017,18200291.0,0.0,0.0,,0.0
2017,18200311.0,0.0,0.0,4.0,200.0
2017,18201181.0,14.0,14.0,,0.0
2017,18201371.0,7920.0,7560.0,2.0,150.0
2017,18201381.0,0.0,0.0,4.0,150.0
2017,18201391.0,650.0,650.0,,0.0
2017,18202171.0,0.0,0.0,,0.0
2017,18202181.0,0.0,0.0,4.0,250.0
2017,18202391.0,570.0,105.0,4.0,250.0
2017,18203121.0,619.0,450.0,4.0,200.0
2017,18203381.0,8735.0,8000.0,2.0,200.0
2017,18203391.0,30.0,0.0,3.0,150.0
2017,18502301.0,0.0,0.0,1.0,250.0
2017,18502311.0,0.0,0.0,5.0,100.0
2017,18502321.0,1043.0,600.0,3.0,150.0
2017,18502341.0,0.0,0.0,4.0,200.0
2017,18502351.0,586.0,320.0,3.0,300.0
2017,18502361.0,920.0,540.0,3.0,200.0
2017,18502371.0,380.0,380.0,3.0,200.0
2017,18502381.0,0.0,0.0,,0.0
2017,18600121.0,0.0,0.0,,0.0
2017,18600151.0,990.0,970.0,5.0,200.0
2017,18600371.0,0.0,0.0,3.0,400.0
2017,18700101.0,0.0,0.0,2.0,100.0
2017,18700111.0,0.0,0.0,,0.0
2017,18700121.0,0.0,0.0,,0.0
2017,18700141.0,660.0,500.0,3.0,300.0
2017,18700151.0,0.0,0.0,4.0,200.0
2017,18700171.0,80.0,10.0,5.0,150.0
2017,18700191.0,816.0,456.0,4.0,250.0
2017,18700311.0,494.0,234.0,3.0,200.0
2017,18700321.0,0.0,0.0,1.0,200.0
2017,18700341.0,840.0,0.0,3.0,500.0
2017,18700391.0,160.0,160.0,3.0,100.0
2017,19200101.0,132.0,0.0,5.0,180.0
2017,19200121.0,380.0,320.0,4.0,150.0
2017,19200151.0,96.0,0.0,2.0,300.0
2017,19200161.0,144.0,0.0,5.0,100.0
2017,19200271.0,1370.0,1080.0,5.0,200.0
2017,19200361.0,0.0,0.0,,0.0
2017,19200391.0,49.0,30.0,5.0,200.0
2017,19201191.0,500.0,300.0,3.0,250.0
2017,19201361.0,0.0,0.0,5.0,60.0
2017,19201391.0,2643.0,2240.0,4.0,100.0
2017,19202111.0,70.0,0.0,,0.0
2017,19202341.0,0.0,0.0,3.0,150.0
2017,19203151.0,37540.0,35500.0,3.0,300.0
2017,19203331.0,0.0,0.0,,0.0
2017,19203341.0,1160.0,1000.0,2.0,500.0
2017,19203381.0,1032.0,0.0,,0.0
2017,19500131.0,500.0,500.0,5.0,150.0
2017,19500141.0,0.0,0.0,3.0,300.0
2017,19500151.0,0.0,0.0,3.0,250.0
2017,19500181.0,0.0,0.0,3.0,400.0
2017,19600101.0,5840.0,5000.0,3.0,250.0
2017,19600191.0,0.0,0.0,3.0,300.0
2017,19700301.0,660.0,300.0,5.0,200.0
2017,20200231.0,362.0,62.0,2.0,300.0
2017,20200251.0,15.0,15.0,5.0,150.0
2017,20201281.0,3768.0,168.0,3.0,500.0
2017,20201381.0,0.0,0.0,,0.0
2017,20600211.0,0.0,0.0,,0.0
2017,20600221.0,990.0,500.0,4.0,250.0
2017,20600231.0,0.0,0.0,,0.0
2017,20600241.0,0.0,0.0,,0.0
2017,20600261.0,70.0,0.0,,0.0
2017,20600271.0,100.0,100.0,4.0,100.0
2017,20600281.0,540.0,540.0,3.0,500.0
2017,20600291.0,0.0,0.0,4.0,100.0
2017,20700211.0,1080.0,600.0,,0.0
2017,20700311.0,0.0,0.0,4.0,100.0
2017,20700331.0,570.0,300.0,3.0,200.0
2017,20700341.0,336.0,276.0,3.0,200.0
2017,20700351.0,0.0,0.0,,0.0
2017,20700371.0,994.0,752.0,5.0,200.0
2017,20700381.0,1460.0,1440.0,4.0,200.0
2017,20700391.0,0.0,0.0,4.0,50.0
2017,21200231.0,0.0,0.0,,0.0
2017,21200241.0,270.0,270.0,,0.0
2017,21201271.0,200.0,0.0,5.0,200.0
2017,21201281.0,300.0,300.0,3.0,200.0
2017,21600201.0,100.0,100.0,,0.0
2017,21600211.0,1762.0,1050.0,1.0,200.0
2017,21600251.0,1755.0,1500.0,4.0,150.0
2017,21600261.0,0.0,0.0,,0.0
2017,21600271.0,324.0,324.0,4.0,160.0
2017,21600281.0,320.0,90.0,3.0,200.0
2017,21600291.0,2304.0,2300.0,2.0,250.0
2017,21700311.0,642.0,600.0,3.0,200.0
2017,21700321.0,41.0,41.0,5.0,200.0
2017,21700331.0,0.0,0.0,5.0,100.0
2017,21700341.0,0.0,0.0,,0.0
2017,21700361.0,0.0,0.0,5.0,100.0
2017,21700371.0,360.0,0.0,3.0,200.0
2017,21700391.0,0.0,0.0,,0.0
2017,22200211.0,17.0,0.0,5.0,100.0
2017,22200221.0,100.0,100.0,5.0,100.0
2017,22200291.0,109.0,109.0,3.0,150.0
2017,22200351.0,210.0,0.0,2.0,100.0
2017,22200381.0,0.0,0.0,3.0,70.0
2017,22200391.0,3024.0,2800.0,4.0,200.0
2017,22201251.0,1030.0,1000.0,2.0,250.0
2017,22201291.0,0.0,0.0,,0.0
2017,22501231.0,0.0,0.0,,0.0
2017,22501241.0,380.0,50.0,3.0,200.0
2017,22600201.0,0.0,0.0,,0.0
2017,22600221.0,562.0,250.0,,0.0
2017,22600231.0,0.0,0.0,,0.0
2017,22600241.0,0.0,0.0,5.0,100.0
2017,22600251.0,6047.0,5460.0,4.0,250.0
2017,22600261.0,212.0,20.0,3.0,200.0
2017,22700241.0,4700.0,2000.0,1.0,500.0
2017,22700251.0,0.0,0.0,,0.0
2017,22700281.0,0.0,0.0,,0.0
2017,22700291.0,0.0,0.0,3.0,300.0
2017,22700301.0,150.0,150.0,3.0,200.0
2017,22700311.0,300.0,300.0,2.0,200.0
2017,22700331.0,0.0,0.0,,0.0
2017,22700341.0,0.0,0.0,5.0,100.0
2017,22700351.0,0.0,0.0,4.0,100.0
2017,22700361.0,0.0,0.0,,0.0
2017,22700371.0,0.0,0.0,3.0,200.0
2017,23200211.0,100.0,100.0,3.0,100.0
2017,23200281.0,206.0,50.0,4.0,150.0
2017,23200291.0,50.0,50.0,4.0,120.0
2017,23200301.0,510.0,420.0,4.0,200.0
2017,23200311.0,0.0,0.0,3.0,100.0
2017,23201201.0,0.0,0.0,,0.0
2017,23201211.0,440.0,440.0,2.0,200.0
2017,23201231.0,0.0,0.0,2.0,300.0
2017,23201291.0,800.0,800.0,3.0,150.0
2017,23501251.0,1114.0,1020.0,,0.0
2017,23501261.0,0.0,0.0,5.0,100.0
2017,23600241.0,160.0,160.0,4.0,150.0
2017,23700201.0,1120.0,1000.0,,0.0
2017,23700211.0,0.0,0.0,5.0,100.0
2017,23700231.0,180.0,180.0,4.0,100.0
2017,23700241.0,40.0,40.0,4.0,100.0
2017,23700251.0,1660.0,1530.0,4.0,150.0
2017,23700261.0,0.0,0.0,4.0,120.0
2017,24200251.0,41.0,41.0,,0.0
2017,24200301.0,0.0,0.0,3.0,250.0
2017,24200311.0,2340.0,2040.0,3.0,50.0
2017,24200321.0,27894.0,27274.0,3.0,200.0
2017,24200361.0,118.0,76.0,5.0,150.0
2017,24200371.0,0.0,0.0,5.0,200.0
2017,24201201.0,1300.0,1050.0,2.0,200.0
2017,24201211.0,9300.0,9230.0,2.0,100.0
2017,24201221.0,1304.0,994.0,4.0,200.0
2017,24201251.0,56.0,56.0,4.0,150.0
2017,25200231.0,0.0,0.0,4.0,150.0
2017,25200331.0,0.0,0.0,,0.0
2017,25201231.0,25.0,25.0,4.0,150.0
2017,25201251.0,820.0,700.0,4.0,150.0
2017,25201261.0,5481.0,4400.0,2.0,200.0
2017,25501221.0,890.0,700.0,4.0,150.0
2017,25503371.0,0.0,0.0,,0.0
2017,25503381.0,0.0,0.0,,0.0
2017,25503391.0,1346.0,1274.0,4.0,200.0
2017,26200221.0,1980.0,1160.0,3.0,200.0
2017,26200251.0,0.0,0.0,5.0,200.0
2017,26200341.0,0.0,0.0,,0.0
2017,26503301.0,764.0,0.0,5.0,150.0
2017,26503311.0,500.0,500.0,2.0,150.0
2017,26503321.0,0.0,0.0,2.0,200.0
2017,27200211.0,441.0,400.0,2.0,200.0
2017,27200221.0,900.0,80.0,2.0,150.0
2017,27200281.0,0.0,0.0,3.0,200.0
2017,27200371.0,0.0,0.0,,0.0
2017,27501221.0,1020.0,840.0,4.0,150.0
2017,27501251.0,0.0,0.0,3.0,200.0
2017,28200251.0,105.0,100.0,5.0,100.0
2017,28200261.0,75.0,75.0,3.0,200.0
2017,28200291.0,1044.0,0.0,3.0,200.0
2017,28200331.0,0.0,0.0,5.0,200.0
2017,28200391.0,0.0,0.0,,0.0
2017,29200231.0,1015.0,1000.0,,0.0
2017,29200241.0,7136.0,6200.0,3.0,250.0
2017,29200281.0,0.0,0.0,,0.0
2017,29200291.0,0.0,0.0,5.0,150.0
2017,29200311.0,0.0,0.0,5.0,100.0
2017,30200221.0,600.0,0.0,4.0,300.0
2017,30200271.0,4548.0,4292.0,4.0,250.0
2017,30200281.0,0.0,0.0,,0.0
2017,30200321.0,0.0,0.0,,0.0
2017,30200351.0,270.0,270.0,3.0,200.0
2017,30400211.0,0.0,0.0,,0.0
2017,30504301.0,0.0,0.0,5.0,100.0
2017,30504321.0,0.0,0.0,,0.0
2017,30504331.0,175.0,0.0,4.0,200.0
2017,30504341.0,0.0,0.0,3.0,200.0
2017,30504351.0,792.0,600.0,3.0,200.0
2017,30600231.0,528.0,344.0,4.0,200.0
2017,30600241.0,0.0,0.0,,0.0
2017,30600261.0,1160.0,1100.0,4.0,200.0
2017,30600271.0,300.0,275.0,4.0,200.0
2017,30600281.0,0.0,0.0,4.0,200.0
2017,30700221.0,0.0,0.0,3.0,150.0
2017,30700231.0,0.0,0.0,2.0,100.0
2017,30700261.0,204.0,0.0,3.0,200.0
2017,30700271.0,0.0,0.0,3.0,300.0
2017,30700281.0,30.0,0.0,,0.0
2017,30700291.0,327.0,272.0,4.0,150.0
2017,30700311.0,500.0,500.0,4.0,100.0
2017,30700321.0,0.0,0.0,3.0,200.0
2017,30700341.0,0.0,0.0,,0.0
2017,30700351.0,50.0,50.0,3.0,150.0
2017,30700361.0,0.0,0.0,5.0,150.0
2017,30700371.0,0.0,0.0,4.0,200.0
2017,30700391.0,0.0,0.0,1.0,250.0
2017,31200241.0,0.0,0.0,1.0,250.0
2017,31200381.0,400.0,400.0,4.0,60.0
2017,31200391.0,502.0,400.0,5.0,200.0
2017,31600201.0,0.0,0.0,4.0,200.0
2017,31600221.0,991.0,410.0,5.0,200.0
2017,31600261.0,19.0,0.0,5.0,200.0
2017,31600271.0,0.0,0.0,3.0,70.0
2017,31600281.0,0.0,0.0,4.0,100.0
2017,31700211.0,400.0,240.0,4.0,200.0
2017,31700221.0,1254.0,1104.0,4.0,100.0
2017,31700231.0,0.0,0.0,,0.0
2017,31700271.0,2000.0,2000.0,3.0,500.0
2017,31700301.0,876.0,440.0,2.0,200.0
2017,31700341.0,620.0,492.0,3.0,200.0
2017,31700371.0,360.0,0.0,4.0,200.0
2017,32200331.0,0.0,0.0,3.0,150.0
